date,open,high,low,close
2017-09-24-22:00,5931.1,5952.3,5840.5,5869.5
2017-09-25-21:00,5877,5911,5860.8,5886.2
2017-09-26-21:00,5890.7,5961.5,5884.9,5939.8
2017-09-27-21:00,5931.6,5946.9,5909.9,5935.2
2017-09-28-21:00,5935.4,5983.5,5932,5979.7
2017-10-01-22:00,5983.2,6008.6,5957.3,5983.1
2017-10-02-21:00,5981.4,6003.2,5977.2,5996.5
2017-10-03-21:00,5993.6,6013.3,5977.6,6000.8
2017-10-04-21:00,6001.8,6062.7,5998.8,6059.2
2017-10-05-21:00,6058.9,6069.4,6035.7,6065.4
2017-10-08-22:00,6065.9,6082.2,6053.3,6060.6
2017-10-09-21:00,6061.3,6087,6037.8,6066.1
2017-10-10-21:00,6063.3,6085.7,6052.9,6083.9
2017-10-11-21:00,6081.9,6096.6,6066.1,6073.1
2017-10-12-21:00,6071.8,6104,6068.6,6096.3
2017-10-15-22:00,6106,6119.5,6099,6117.8
2017-10-16-21:00,6119,6126.8,6106.5,6125
2017-10-17-21:00,6122.9,6134.1,6109.5,6118.5
2017-10-18-21:00,6120.7,6123.2,6052.7,6095.3
2017-10-19-21:00,6096,6131.3,6092.3,6110.2
2017-10-22-22:00,6120,6126.8,6063.3,6071.6
2017-10-23-21:00,6068.3,6094.8,6059.3,6082.8
2017-10-24-21:00,6075.3,6090,6013.4,6058
2017-10-25-21:00,6066,6079,6038,6041.7
2017-10-26-21:00,6095.2,6228.9,6081.9,6215.7
2017-10-29-22:00,6213.6,6254.4,6205.2,6229.6
2017-10-30-21:00,6223.4,6261.7,6222.3,6252.4
2017-10-31-21:00,6257.6,6287.6,6226.7,6250.2
2017-11-01-21:00,6231.6,6250.8,6195.8,6237.9
2017-11-02-21:00,6252.6,6299.5,6239.6,6297.4
2017-11-05-23:00,6292.8,6320,6270.8,6316.3
2017-11-06-22:00,6314.8,6334,6298.9,6320.4
2017-11-07-22:00,6310.1,6348.7,6304.3,6347.4
2017-11-08-22:00,6345.7,6354.2,6247.9,6312.3
2017-11-09-22:00,6311.2,6320.7,6281.2,6309.2
2017-11-12-23:00,6312.8,6325.5,6281.7,6317
2017-11-13-22:00,6312,6318.8,6262.6,6294.5
2017-11-14-22:00,6289.8,6289.8,6227.8,6261.1
2017-11-15-22:00,6261.8,6354.8,6257.1,6340.3
2017-11-16-22:00,6339.8,6348.1,6309.6,6315.1
2017-11-19-23:00,6314.2,6326.2,6288.3,6311
2017-11-20-22:00,6311.1,6382.6,6308.4,6379.1
2017-11-21-22:00,6377.3,6392.3,6372.5,6386.3
2017-11-22-22:00,6386.5,6395.2,6373.2,6382.2
2017-11-23-22:00,6381.2,6413.2,6377.2,6411.7
2017-11-26-23:00,6415.4,6422.8,6393.1,6407.3
2017-11-27-22:00,6406.8,6427.4,6386.8,6422.9
2017-11-28-22:00,6418.6,6426.1,6281.4,6312.9
2017-11-29-22:00,6307,6375.7,6287.2,6364.7
2017-11-30-22:00,6356.7,6367.4,6244.7,6338.2
2017-12-03-23:00,6380.4,6384.1,6257.1,6263.1
2017-12-04-22:00,6262.1,6339.3,6231.3,6266.8
2017-12-05-22:00,6273.1,6307.2,6232.7,6296
2017-12-06-22:00,6296.7,6336.2,6289.2,6318.4
2017-12-07-22:00,6325.3,6379.7,6321.5,6345.7
2017-12-10-23:00,6348.6,6401.7,6345.2,6398.7
2017-12-11-22:00,6403.5,6412.2,6376.5,6391.3
2017-12-12-22:00,6387.6,6424.1,6369.6,6403
