N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
5,3,11,0.0009,4,1122,0.424,0.273,306.4651713
5,3,11,0.0009,4,1122,0.424,0.273,306.4651713
5,3,11,0.0009,3,1120,0.424,0.273,305.4651713
5,3,13,0.0009,2,1026,0.424,0.272,279.5265342
4,2,11,0.0007,3,1184,0.424,0.272,322.1365297
4,2,11,0.0007,3,1184,0.424,0.272,322.1365297
5,3,12,0.0009,4,1090,0.424,0.272,296.4651713
5,3,12,0.0009,4,1090,0.424,0.272,296.4651713
5,3,13,0.0009,4,1049,0.423,0.270,283.5265342
5,3,13,0.0008,2,1028,0.423,0.269,276.2659881
5,3,13,0.0008,2,1028,0.423,0.269,276.2659881
5,3,11,0.0007,4,1131,0.423,0.268,302.8733751
5,3,12,0.0007,2,1057,0.422,0.266,280.8733751
5,3,11,0.0008,3,1124,0.422,0.264,297.1969548
5,4,13,0.0009,4,1138,0.422,0.263,299.708922
5,4,13,0.0009,4,1138,0.422,0.263,299.708922
4,2,11,0.0009,4,1177,0.420,0.260,305.5382033
4,2,12,0.0008,3,1144,0.420,0.259,296.6165606
5,3,12,0.0008,2,1055,0.420,0.259,273.1969548
4,3,11,0.0009,3,1297,0.417,0.252,326.5954455
4,2,12,0.0007,3,1146,0.417,0.251,288.1491946
5,3,13,0.0007,2,1031,0.417,0.251,258.9522703
5,3,13,0.0007,4,1055,0.417,0.251,264.9522703
5,4,11,0.0007,2,1164,0.418,0.251,291.8915393
5,3,10,0.0007,4,1176,0.417,0.250,293.8733751
5,3,13,0.0007,3,1054,0.417,0.249,262.9522703
5,3,11,0.001,4,1117,0.416,0.249,278.3186542
5,3,11,0.001,4,1117,0.416,0.249,278.3186542
4,3,11,0.0008,4,1309,0.416,0.249,325.3643624
4,3,11,0.0008,4,1309,0.416,0.249,325.3643624
5,3,10,0.0007,3,1173,0.416,0.248,
5,4,12,0.0007,4,1186,0.417,0.248,
5,4,12,0.0007,4,1186,0.417,0.248,
5,4,12,0.0007,4,1186,0.417,0.248,
