N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
5,3,10,0.0008,4,1171,0.373185312,0.267119517,312.7969548
5,4,13,0.0009,4,1136,0.373239437,0.265940952,302.108922
5,3,10,0.0008,2,1119,0.372654155,0.265234097,296.7969548
4,2,12,0.0009,4,1140,0.371929825,0.264378856,301.3918963
4,2,13,0.0007,2,1070,0.372897196,0.264243216,282.7402414
5,3,13,0.001,3,1043,0.371045062,0.262430476,273.7149866
4,4,11,0.0007,2,1276,0.371473354,0.260418207,332.2936315
5,4,10,0.0007,2,1206,0.371475954,0.260148499,313.7390893
5,3,9,0.0007,3,1252,0.371405751,0.259156785,324.4642952
4,2,10,0.0007,2,1161,0.37037037,0.258687795,300.3365297
5,4,13,0.0009,2,1094,0.371115174,0.258600477,282.908922
5,4,12,0.0009,3,1174,0.370528109,0.256558632,301.1998345
5,4,13,0.001,2,1091,0.371219065,0.254593739,277.761769
5,4,13,0.001,3,1129,0.371124889,0.254527696,287.361769
5,4,13,0.001,3,1129,0.371124889,0.254527696,287.361769
5,4,11,0.0009,3,1217,0.369761709,0.254066111,309.1984572
4,2,12,0.0009,2,1093,0.368709973,0.25342351,276.9918963
4,2,12,0.0009,2,1093,0.368709973,0.25342351,276.9918963
4,2,10,0.001,2,1146,0.369109948,0.2533674,290.3590401
4,2,10,0.001,2,1146,0.369109948,0.2533674,290.3590401
5,4,12,0.001,2,1123,0.370436331,0.251994791,282.99015
5,4,12,0.001,2,1123,0.370436331,0.251994791,282.99015
5,4,12,0.001,4,1172,0.370307167,0.251868729,295.19015
5,4,12,0.001,4,1172,0.370307167,0.251868729,295.19015
5,3,9,0.0008,2,1172,0.369453925,0.251823299,295.136906
4,4,13,0.0008,2,1215,0.369547325,0.250763285,304.6773915
5,4,12,0.001,3,1169,0.369546621,0.249264457,291.39015
4,4,13,0.0008,3,1301,0.368946964,0.249098687,324.0773915
4,2,9,0.001,4,1284,0.368380062,0.248474927,319.0418056
4,2,9,0.001,4,1284,0.368380062,0.248474927,319.0418056
5,3,10,0.0009,2,1111,0.366336634,0.246341169,273.685039
5,3,10,0.0009,2,1111,0.366336634,0.246341169,273.685039
5,4,10,0.0007,3,1294,0.367078825,0.245393423,317.5390893
4,2,13,0.0009,3,1098,0.367030965,0.245078912,269.0966458
4,2,13,0.0009,3,1098,0.367030965,0.245078912,269.0966458
5,3,10,0.0009,3,1159,0.365832614,0.244594512,283.485039
