N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r
5,3,13,0.001,2,1025,0.4146341463414634,0.24426720080199862
5,3,13,0.0011,2,1021,0.4103819784524976,0.2317191550934216
4,2,15,0.0008,2,1017,0.41002949852507375,0.22780870206793755
5,2,9,0.001,2,1005,0.4079601990049751,0.22256557564859628
5,2,9,0.0008,3,1051,0.4072312083729781,0.22174501025123927
4,2,13,0.001,2,1065,0.40375586854460094,0.2072664594477043
5,3,13,0.0013,4,1037,0.40019286403085824,0.19792249410189564
