dt,open,high,low,close,s1,s2,s3,SMMA,vix_d,aligned_long,aligned_short,close_above_smma,close_below_smma,long_ok,short_ok,consec_long,consec_short,armed_long,armed_short,armed_long_prev,armed_short_prev
2025-11-11 06:13:00-05:00,25528.2,25531.6,25526.1,25527.4,25517.87626398283,25520.947908344642,25525.88877751039,25527.492277682515,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:14:00-05:00,25527.6,25539.3,25527.6,25538.2,25518.517316840036,25521.734544375733,25526.56693672094,25529.38651845501,17.9,True,False,True,False,True,False,1,0,False,False,False,False
2025-11-11 06:15:00-05:00,25536.2,25537.1,25526.2,25528.4,25519.1911548007,25522.562512499797,25527.42456756407,25530.249345636676,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:16:00-05:00,25528.7,25532.4,25524.4,25531.6,25519.860599926003,25523.35090161436,25528.132010610876,25529.924563757784,17.9,True,False,True,False,True,False,1,0,False,False,False,False
2025-11-11 06:17:00-05:00,25529.6,25537.2,25527.6,25532.4,25520.517167770857,25524.08818952084,25528.691168268135,25530.51637583852,17.9,True,False,True,False,True,False,2,0,False,False,False,False
2025-11-11 06:18:00-05:00,25530.6,25533.4,25522.9,25525.1,25521.148440540986,25524.755048290597,25529.072836739768,25529.677583892346,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:19:00-05:00,25525.3,25528.1,25521.2,25524.6,25521.712133638375,25525.269689775654,25529.036285694878,25528.051722594897,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:20:00-05:00,25524.7,25525.3,25516.8,25524.6,25522.185533905802,25525.59949642549,25528.57089640496,25526.317815063263,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:21:00-05:00,25524.3,25529.6,25521.6,25528.3,25522.588219307672,25525.804059935956,25527.978241074372,25526.195210042177,17.9,True,False,True,False,True,False,1,0,False,False,False,False
2025-11-11 06:22:00-05:00,25528.4,25528.6,25520.7,25524.9,25522.946190116436,25525.949305341106,25527.492233856206,25526.01347336145,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:23:00-05:00,25524.7,25524.8,25520.6,25522.2,25523.247687314102,25526.013122066655,25526.978463361902,25525.03398224097,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:24:00-05:00,25522.1,25523.9,25520.3,25521.2,25523.478773634073,25525.970652589458,25526.33286139326,25523.98098816065,17.9,True,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:25:00-05:00,25521.1,25523.3,25513.2,25516.3,25523.624375253978,25525.796635275947,25525.478819459197,25522.145658773767,17.9,False,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:26:00-05:00,25516.6,25521.6,25513.6,25520.9,25523.678713794172,25525.48755466861,25524.43413276392,25520.822105849176,17.9,False,False,True,False,False,False,0,0,False,False,False,False
2025-11-11 06:27:00-05:00,25521.2,25526.7,25516.7,25523.2,25523.679948094436,25525.133303050086,25523.53181108689,25521.198070566115,17.9,False,False,True,False,False,False,0,0,False,False,False,False
2025-11-11 06:28:00-05:00,25522.3,25526.7,25519.7,25520.2,25523.662421182395,25524.806007096868,25522.952417208267,25521.54038037741,17.9,False,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:29:00-05:00,25519.7,25526.8,25519.3,25525.3,25523.634954018533,25524.51622459627,25522.621117181978,25521.951920251606,17.9,False,False,True,False,False,False,0,0,False,False,False,False
2025-11-11 06:30:00-05:00,25525.6,25525.6,25514.7,25518.1,25523.59277181965,25524.245086592848,25522.39094738067,25521.63461350107,17.9,False,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:31:00-05:00,25518.2,25522.8,25516.4,25522.4,25523.52294494434,25523.95886845393,25522.1104312963,25521.073075667384,17.9,False,False,True,False,False,False,0,0,False,False,False,False
2025-11-11 06:32:00-05:00,25522.7,25522.7,25514.1,25514.2,25523.416952402134,25523.63708484316,25521.71813631585,25520.190383778256,17.9,False,False,False,True,False,False,0,0,False,False,False,False
2025-11-11 06:33:00-05:00,25514.4,25518.2,25507.7,25512.9,25523.244746951008,25523.21549465326,25521.01789283799,25517.893589185504,17.9,False,True,False,True,False,True,0,1,False,False,False,False
2025-11-11 06:34:00-05:00,25513.2,25515.9,25507.3,25509.3,25522.98113894825,25522.64658716485,25519.92206936671,25515.737392790335,17.9,False,True,False,True,False,True,0,2,False,False,False,False
2025-11-11 06:35:00-05:00,25509.2,25513.4,25506.2,25510.3,25522.62732924213,25521.94338430074,25518.569366263986,25513.74992852689,17.9,False,True,False,True,False,True,0,3,False,False,False,False
2025-11-11 06:36:00-05:00,25510.4,25513.3,25507.6,25509.7,25522.198980006495,25521.147633703873,25517.152607252036,25512.583285684592,17.9,False,True,False,True,False,True,0,4,False,True,False,False
