dt,time,aligned_long,aligned_short,close_above_smma,close_below_smma,long_ok,short_ok,consec_long,consec_short,armed_long,armed_long_prev,armed_short,armed_short_prev,touch_long,touch_short,in_entry_window,long_entry_signal,short_entry_signal,
2025-11-11 18:43:00-05:00,18:43,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,7,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:44:00-05:00,18:44,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,8,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:45:00-05:00,18:45,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:46:00-05:00,18:46,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:47:00-05:00,18:47,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:48:00-05:00,18:48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:49:00-05:00,18:49,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:50:00-05:00,18:50,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:51:00-05:00,18:51,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:52:00-05:00,18:52,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:53:00-05:00,18:53,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:54:00-05:00,18:54,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:55:00-05:00,18:55,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 18:56:00-05:00,18:56,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
