dt,open,high,low,close,s1,s2,s3
2025-11-11 21:16:00-05:00,25654.1,25656.9,25652.6,25653.4,25631.645684233645,25637.933517488767,25645.972823043543
2025-11-11 21:17:00-05:00,25653.5,25656.5,25651.1,25653.1,25633.07057462002,25639.54721314021,25647.648463791695
2025-11-11 21:18:00-05:00,25653.3,25655.4,25650.5,25652.9,25634.481058797188,25641.087943883063,25649.038462732016
2025-11-11 21:19:00-05:00,25650.9,25653.8,25645.0,25645.9,25635.82105019152,25642.449623903798,25649.87754715069
2025-11-11 21:20:00-05:00,25646.0,25648.6,25643.3,25648.3,25637.034293108714,25643.536690563345,25650.00622203751
