N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,
5,2,11,0.0008,2,1202,0.379,0.322,387.1513762
5,2,11,0.0008,2,1202,0.379,0.322,387.1513762
5,2,11,0.0008,2,1202,0.379,0.322,387.1513762
5,2,11,0.0007,2,1206,0.378,0.318,384.0320188
5,2,11,0.0007,4,1315,0.378,0.318,418.5320188
5,2,13,0.0007,4,1223,0.371,0.296,362.2904096
5,2,13,0.0007,4,1223,0.371,0.296,362.2904096
5,4,11,0.0007,2,1381,0.372,0.296,408.1774649
5,3,11,0.0007,2,1340,0.371,0.294,394.0871994
5,3,11,0.0007,2,1340,0.371,0.294,394.0871994
5,2,11,0.001,4,1292,0.372,0.292,377.3148091
5,2,10,0.0008,2,1228,0.371,0.291,357.6513762
5,2,11,0.0009,2,1196,0.370,0.291,348.2382268
5,2,12,0.0007,2,1179,0.370,0.291,343.2060486
5,2,10,0.0008,4,1364,0.370,0.291,396.6513762
5,3,11,0.0007,3,1550,0.370,0.290,450.0871994
5,3,11,0.0007,3,1550,0.370,0.290,450.0871994
5,4,12,0.0007,2,1365,0.371,0.290,395.8609909
5,4,12,0.0007,2,1365,0.371,0.290,395.8609909
5,2,12,0.0007,3,1265,0.369,0.289,365.7060486
5,2,10,0.0007,4,1372,0.369,0.286,393.0320188
5,3,12,0.0007,3,1493,0.368,0.286,426.5605198
5,2,10,0.0007,3,1362,0.368,0.283,385.5320188
5,2,9,0.0007,4,1437,0.367,0.282,405.0320188
5,2,9,0.0007,4,1437,0.367,0.282,405.0320188
5,2,9,0.0007,4,1437,0.367,0.282,405.0320188
5,4,11,0.0007,3,1664,0.368,0.281,468.1774649
4,3,11,0.0007,2,1413,0.367,0.281,396.8544643
5,3,11,0.0007,4,1573,0.367,0.280,441.0871994
5,2,9,0.0007,2,1259,0.367,0.280,352.0320188
5,2,9,0.0007,2,1259,0.367,0.280,352.0320188
5,2,9,0.0007,3,1426,0.367,0.279,398.5320188
4,3,12,0.0007,3,1705,0.365,0.276,470.3299845
5,3,10,0.0007,3,1619,0.365,0.274,444.0871994
5,3,10,0.0007,3,1619,0.365,0.274,444.0871994
4,2,10,0.0007,2,1370,0.365,0.274,375.5199479
5,4,11,0.0007,4,1702,0.365,0.273,465.1774649
5,2,12,0.0009,4,1255,0.364,0.272,341.1922311
4,2,11,0.001,3,1566,0.365,0.272,425.2363178
4,2,11,0.001,3,1566,0.365,0.272,425.2363178
5,2,13,0.0008,2,1150,0.364,0.271,311.9399682
4,3,12,0.0007,2,1395,0.364,0.271,377.8299845
4,3,13,0.0007,4,1667,0.364,0.269,448.9799711
4,3,13,0.0007,4,1667,0.364,0.269,448.9799711
5,3,10,0.0007,2,1367,0.363,0.267,365.6631413
5,3,10,0.0007,2,1367,0.363,0.267,365.6631413
5,3,12,0.0008,2,1309,0.364,0.267,349.5342794
5,3,12,0.0008,2,1309,0.364,0.267,349.5342794
4,2,13,0.001,4,1476,0.364,0.266,393.3530378
4,2,10,0.0007,3,1658,0.362,0.266,441.0199479
4,2,10,0.0007,4,1705,0.362,0.266,453.5199479
5,4,12,0.0008,3,1590,0.364,0.266,422.6887738
4,2,11,0.001,4,1590,0.364,0.266,422.2363178
5,3,13,0.0007,3,1442,0.363,0.266,382.8716846
5,3,13,0.0007,3,1442,0.363,0.266,382.8716846
5,3,13,0.0007,4,1452,0.362,0.262,379.8716846
5,3,13,0.0007,4,1452,0.362,0.262,379.8716846
5,2,13,0.001,4,1210,0.362,0.261,315.6681143
4,3,11,0.0007,4,1817,0.361,0.261,473.7785224
4,3,11,0.0008,2,1408,0.361,0.259,365.1432412
5,2,9,0.0008,2,1257,0.361,0.259,325.1513762
5,4,12,0.0008,4,1619,0.361,0.258,418.1887738
5,4,12,0.0008,4,1619,0.361,0.258,418.1887738
5,3,10,0.0007,4,1654,0.360,0.258,426.5871994
5,2,13,0.0009,4,1214,0.360,0.258,312.7564676
4,2,11,0.0009,2,1348,0.361,0.257,346.41753
5,2,13,0.0009,3,1212,0.360,0.257,311.2564676
5,4,13,0.0008,2,1340,0.361,0.256,343.6887738
5,4,13,0.0008,4,1552,0.361,0.256,397.6887738
5,3,11,0.001,2,1323,0.360,0.252,333.2775284
4,2,11,0.0008,3,1596,0.358,0.251,400.418719
